,Date,Startup Name,Industry,Sub-Vertical,City,Investors’ Name,Investment Type,Amount (In USD)
1627,2017-11-24,IDG Ventures,Finance,Venture Capitalist,Bengaluru,Uniliver Ventures,Private Equity,"10,000,000"
1628,2016-12-12,Xseed Education,Technology,Education & learning Tech platform,Bengaluru,Verlinvest SA,Private Equity,"10,000,000"
1629,2016-12-15,IdeaForge,Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,"10,000,000"
1630,2015-07-08,Lybrate,Healthcare Mobile App,Healthcare Mobile App,Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,"10,200,000"
1631,2017-09-06,Lending Kart,Consumer Internet,Online Lending,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"10,750,000"
1632,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed/ Angel Funding,"11,000,000"
1633,2017-04-26,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,"11,000,000"
1634,2015-01-20,Hopscotch,Industry / Vertical,Sub-Vertical,City / Location,Eduardo Saverin & Velos Capital,Private Equity,"11,000,000"
1635,2015-06-19,FundsIndia.com,Financial Services Platform,Financial Services Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"11,000,000"
1636,2019-08-13,Cars24,ECommerce,Car Retail,Gurugram,MS Dhoni,Series D,"11,000,000"
1637,2016-02-23,CupoNation,Consumer Internet,Deals and Discount platform,Gurugram,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,"11,000,000"
1638,2015-07-08,Zoomcar,Self-driven vehicle rental,Self-driven vehicle rental,Bengaluru,"Sequoia Capital, Empire Angels, NGP",Private Equity,"11,000,000"
1639,2015-07-15,Roadrunnr,Hyper local logistics platform,Hyper local logistics platform,Bengaluru,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,"11,000,000"
1640,2015-07-08,Flytxt,Big Data & Analytics platform,Big Data & Analytics platform,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,"11,000,000"
1641,2016-03-10,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,Delhi,Undisclosed investors,Private Equity,"11,100,000"
1642,2016-12-13,OfBusiness,ECommerce,Online business-to-business (B2B) marketplace,Gurugram,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,"11,100,000"
1643,2017-09-13,Unacademy,Consumer Internet,Education/E-learning,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"11,500,000"
1644,2018-06-07,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,"11,500,000"
1645,2015-04-24,Coverfox,Online Insurance Aggregator,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"12,000,000"
1646,2016-11-09,Square Yards,Consumer Internet,Online Property Search Portal,Gurugram,ADAG Reliance Private Equity,Private Equity,"12,000,000"
1647,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,"12,000,000"
1648,2015-04-17,Robosoft,Mobile App Development,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"12,000,000"
1649,2019-11-18,Healthians,Health and Wellness,Healthcare services ,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,"12,000,000"
1650,2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,"12,000,000"
1651,2018-04-10,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,"12,000,000"
1652,2017-07-05,Moglix,ECommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"12,000,000"
1653,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"12,000,000"
1654,2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,"12,000,000"
1655,2020-04-07,DeHaat,AgriTech,AgriTech,Patna,"Sequoia Capital India, FMO, Omnivore and AgFunder.",Series A,"12,000,000"
1656,2016-08-01,HealthKart,ECommerce,Online Pharmacy & Health Marketplace,Gurugram,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"12,000,000"
1657,2018-03-01,Urban Ladder,E-Commerce ,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,"12,000,000"
1658,2018-02-09,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,"12,000,000"
1659,2016-05-04,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,"12,000,000"
1660,2015-05-30,Ather Energy,Electric Scooter Manufacturer,Electric Scooter Manufacturer,Bengaluru,Tiger Global,Private Equity,"12,000,000"
1661,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,"12,200,000"
1662,2016-07-12,SirionLabs,Technology,SAAS based Service Agreement Management,Gurugram,Sequoia Capital,Private Equity,"12,250,000"
1663,2017-12-05,Dunzo,Technology,Daily Task Management Mobile App,Bengaluru,Google,Private Equity,"12,300,000"
1664,2017-06-15,MoneyTap,Consumer Internet,Money Lending platform,Bengaluru,"Sequoia India, NEA, Prime Venture Partners",Private Equity,"12,300,000"
1665,2016-09-12,Nykaa,ECommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"12,300,000"
1666,2017-06-19,Unbxd,Technology,Cloud-based product discovery platform,Bengaluru,Eight Roads Ventures,Private Equity,"12,500,000"
1667,2015-11-20,MindTickle,Sales & Productivity Software,Sales & Productivity Software,Pune / US,New Enterprise Associates,Private Equity,"12,500,000"
1668,2016-02-08,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,"12,500,000"
1669,2020-04-09,Vedantu,EduTech,Education/E-learning,Bengaluru,Legend Capital,Series C1,"12,560,000"
1670,2020-02-03,Embibe,EduTech,AI based learning,Mumbai,Reliance Industries Limited (RIL),Venture Series,"12,625,020"
1671,2015-07-23,Nestaway,Luxury Rental Homes,Luxury Rental Homes,Bengaluru,"Flipkart, Tiger Global",Private Equity,"12,750,000"
1672,2020-03-31,Nykaa,ECommerce,Cosmetic and Beauty Products,Mumbai, Steadview Capital,Series F,"13,000,000"
1673,2016-02-29,Hopscotch,ECommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,"13,000,000"
1674,2017-11-28,Chumbak,Lifestyle,Designer-led consumer products,Bengaluru,Gaja Capital,Private Equity,"13,000,000"
1675,2017-01-06,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"13,000,000"
1676,2015-01-09,YepMe,Industry / Vertical,Sub-Vertical,City / Location,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,"13,000,000"
1677,2015-02-11,Capital Float,Industry / Vertical,Sub-Vertical,City / Location,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,"13,000,000"
1678,2015-11-26,GoQii,Fitness Tracking Management Solutions,Fitness Tracking Management Solutions,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,"13,400,000"
1679,2015-07-01,NxtGen,IT infrastructure & Data Center services,IT infrastructure & Data Center services,Bengaluru,"IFC, Axon Partners, Intel Capital",Private Equity,"13,500,000"
1680,2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,"13,500,000"
1681,2018-02-13,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,"13,500,000"
1682,2016-02-05,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,"13,500,000"
1683,2016-11-17,Koovs,ECommerce,Fashion eTailer,Delhi,Times of India Group & Existing investors,Private Equity,"13,500,000"
1684,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT ",Private Equity,"14,000,000"
1685,2017-10-31,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"14,000,000"
1686,2019-04-19,KrazyBee,ECommerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000"
1687,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,"14,680,000"
1688,2015-01-21,Simplilearn,Industry / Vertical,Sub-Vertical,City / Location,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,"14,750,000"
1689,2016-03-14,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",Delhi,Agarwal Movers Group,Private Equity,"14,900,000"
1690,2017-11-13,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,"15,000,000"
1691,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"15,000,000"
1692,2018-06-20,Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,"15,000,000"
1693,2016-04-26,Roposo,ECommerce,Social Fashion ECommerce Discovery platform,Gurugram,Bertelsmann India Investments,Private Equity,"15,000,000"
1694,2016-09-19,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bengaluru,Bessemer Venture Partners,Private Equity,"15,000,000"
1695,2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bengaluru,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"15,000,000"
1696,2017-01-23,CueMath,Technology,Maths Learning program,Delhi,"CapitalG, Sequoia India",Private Equity,"15,000,000"
1697,2015-11-06,Yuvi Hospitality,Premium dining Lounges & restaurants,Premium dining Lounges & restaurants,Gurugram,Chandralekha Construction Pvt. Ltd.,Private Equity,"15,000,000"
1698,2015-09-12,CredR,Used Vehicles Marketplace,Used Vehicles Marketplace,Mumbai,Eight Road Ventures,Private Equity,"15,000,000"
1699,2015-07-25,CredR,Used Bikes Marketplace,Used Bikes Marketplace,Mumbai,Fidelity Growth Partners,Private Equity,"15,000,000"
1700,2016-07-19,Deal4Loans,Consumer Internet,"
",Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,"15,000,000"
1701,2017-07-27,1mg,ECommerce,Online Pharmacy,Gurugram,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"15,000,000"
1702,2016-04-26,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity,"15,000,000"
1703,2015-05-05,Fintellix,Banking Analytics Platform,Banking Analytics Platform,Bengaluru,"IDG Ventures, Sequoia Capital",Private Equity,"15,000,000"
1704,2016-03-10,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,"15,000,000"
1705,2016-12-20,BYJU’s,Consumer Internet,Online Learning platform,Bengaluru,International Financial Corporation,Private Equity,"15,000,000"
1706,2017-02-13,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurugram,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,"15,000,000"
1707,2015-07-23,HolidayIQ,Travel information portal,Travel information portal,Bengaluru,MakeMyTrip,Private Equity,"15,000,000"
1708,2016-04-20,1mg,ECommerce,Online Pharmacy,Gurugram,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,"15,000,000"
1709,2015-03-03,Vserv,Industry / Vertical,Sub-Vertical,City / Location,"Maverick Capital, IDG Ventures India",Private Equity,"15,000,000"
1710,2015-04-23,Simplilearn,Online Certification Courses,Online Certification Courses,Bengaluru,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"15,000,000"
1711,2016-04-15,Vyomo,Consumer Internet,On-Demand Beauty Service provider,Delhi,Naturals Salon Chain,Private Equity,"15,000,000"
1712,2015-06-03,Arkin Net,Data Center Software platform,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,"15,000,000"
1713,2015-06-24,Indix,SaaS product intelligence platform,SaaS product intelligence platform,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"15,000,000"
1714,2015-05-06,Swiggy,Online Food Delivery,Online Food Delivery,Bengaluru,Norwest Venture Partners,Private Equity,"15,000,000"
1715,2016-08-11,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"15,000,000"
1716,2015-10-05,Voylla,Fashion jewelry and accessories e-tailer,Fashion jewelry and accessories e-tailer,Jaipur,Peepul Capital,Private Equity,"15,000,000"
1717,2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurugram,Private Sector Banks (Debt Funding),Private Equity,"15,000,000"
1718,2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"15,000,000"
1719,2017-03-23,Ixigo,Consumer Internet,Online Travel Search Engine,Gurugram,"Sequoia Capital, Kinzon Capital",Private Equity,"15,000,000"
1720,2016-01-21,Housing.com,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,"15,000,000"
1721,2017-02-21,True Balance,Consumer Internet,Mobile balance Checking App,Gurugram,"Softbank Ventures Korea, IMM Investment",Private Equity,"15,000,000"
1722,2020-01-31,DoubtNut,Education,Education/E-learning,Gurugram,Tencent Holdings,Series A,"15,000,000"
1723,2015-08-18,Roposo,Fashion Discovery platform,Fashion Discovery platform,Gurugram,Tiger Global,Private Equity,"15,000,000"
1724,2019-08-22,INDwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,"15,000,000"
1725,2015-07-20,Zo Rooms,Online budget hotel chain,Online budget hotel chain,Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,"15,000,000"
1726,2015-03-12,MoonFrog Labs,Industry / Vertical,Sub-Vertical,City / Location,"Tiger Global, Sequoia Capital.",Private Equity,"15,000,000"
1727,2015-11-16,TaskBucks,mobile-only tasks marketplace,mobile-only tasks marketplace,Delhi,Times Internet,Private Equity,"15,000,000"
1728,2017-06-12,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,"15,000,000"
1729,2015-03-20,Mahindra First Choice,Industry / Vertical,Sub-Vertical,City / Location,Valiant Capital,Private Equity,"15,000,000"
1730,2017-02-17,Urban Ladder,ECommerce,Online Furniture Store,Bengaluru,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,"15,200,000"
1731,2017-09-22,Yatra.com,ECommerce,Online Travel Agency,Gurugram,InnoVen Capital India,Debt Funding,"15,400,000"
1732,2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,"15,600,000"
1733,2018-01-04,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private ,"15,700,000"
1734,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"15,800,000"
1735,2016-06-08,StoreKing,ECommerce,Connecting Small Town Consumers to E-Commerce,Bengaluru,Axiata Digital,Private Equity,"16,000,000"
1736,2016-10-17,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,"16,000,000"
1737,2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"16,000,000"
1738,2017-08-24,Ezetap,Technology,mPOS solutions provider,Bengaluru,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"16,000,000"
1739,2015-07-30,Droom.in,Used Vehicle Marketplace,Used Vehicle Marketplace,Delhi,"Lightbox Ventures, Beenos",Private Equity,"16,000,000"
1740,2015-02-26,TinyOwl,Industry / Vertical,Sub-Vertical,City / Location,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",Private Equity,"16,000,000"
1741,2015-06-12,La Renon,Global Healthcare products,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,"16,000,000"
1742,2015-05-19,Akosha,Business Messaging App,Business Messaging App,Delhi,Sequoia Capital,Private Equity,"16,000,000"
1743,2015-08-10,NearBuy,Hyper-Local Ecommerce,Hyper-Local Ecommerce,Delhi,Sequoia Capital,Private Equity,"16,000,000"
1744,2015-03-31,Aryaka,Industry / Vertical,Sub-Vertical,City / Location,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"16,000,000"
1745,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"16,000,000"
1746,2015-03-31,Appsdaily,Industry / Vertical,Sub-Vertical,City / Location,"Zodius Capital, Ru-Net, Kalaari Capital,  Qualcomm Ventures",Private Equity,"16,000,000"
1747,2015-07-09,Bluestone,Online Jewellery Store,Online Jewellery Store,Bengaluru,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,"16,200,000"
1748,2015-02-13,Itzcash,Industry / Vertical,Sub-Vertical,City / Location,Ashok Goel (promoter),Private Equity,"16,500,000"
1749,2015-06-09,Swiggy,Online Food Ordering,Online Food Ordering,Bengaluru,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"16,500,000"
1750,2016-01-11,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bengaluru,"Zodius Capital, Lightspeed Venture Partners",Private Equity,"16,500,000"
1751,2015-11-03,Bidgely,Efficient Energy Management platform,Efficient Energy Management platform,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,"16,600,000"
1752,2016-07-22,Treebo Hotels,Consumer Internet,Budget Hotel Aggregator & Booking platform,Bengaluru,"Bertelsmann India Investments, SAIF Partners, Matrix Partners India.",Private Equity,"16,700,000"
1753,2019-04-12,Medlife,ECommerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"17,000,000"
1754,2017-09-12,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bengaluru,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"17,000,000"
1755,2016-01-29,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bengaluru,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,"17,000,000"
1756,2019-11-20,Aye Finance ,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,"17,411,265"
1757,2017-12-12,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,"17,500,000"
1758,2017-04-07,PharmEasy,ECommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"18,000,000"
1759,2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"18,000,000"
1760,2018-03-22,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,"18,000,000"
1761,2016-05-10,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,"18,000,000"
1762,2018-07-21,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,"18,000,000"
1763,2015-04-23,Craftstvilla,Ethnic Product eCommerce,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"18,000,000"
1764,2015-02-05,Culture Machine,Industry / Vertical,Sub-Vertical,City / Location,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"18,000,000"
1765,2018-01-18,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,"18,200,000"
1766,2020-01-09,Mamaearth,ECommerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"18,358,860"
1767,2017-07-12,Innoviti,Technology,Digital payments solutions,Bengaluru,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"18,500,000"
1768,2018-01-10,Appario Retail Pvt Ltd.,ECommerce,Retail,Delhi,Amazon-Patni JV,Private Equity,"18,840,000"
1769,2018-06-26,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform ,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,"19,000,000"
1770,2016-09-30,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"19,000,000"
1771,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,"19,000,000"
1772,2015-07-10,Loylty Rewards,Premium Loyalty Rewards Point Management,Premium Loyalty Rewards Point Management,Mumbai, IndianIdeas.com,Private Equity,"19,350,000"
1773,2017-03-04,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,"19,500,000"
1774,2017-12-20,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"Kedaraa Capital, Ontario Teachers'",Private Equity,"19,500,000"
1775,2016-01-20,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,"20,000,000"
1776,2015-08-19,MebelKart,Online Furniture Marketplace,Online Furniture Marketplace,Bengaluru,AskMe,Private Equity,"20,000,000"
1777,2017-07-04,Droom,ECommerce,Online marketplace for automobiles,Gurugram,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"20,000,000"
1778,2016-08-19,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"20,000,000"
1779,2015-12-04,NDTV Wedding portal,Online Wedding Marketplace,Online Wedding Marketplace,Delhi,CerraCap,Private Equity,"20,000,000"
1780,2016-11-23,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bengaluru,"Delta Partners, Sequoia India,  Mayfield, Blacksoil, Trifecta Capital",Private Equity,"20,000,000"
1781,2018-01-15,Newgen Software,Technology,IT,Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"20,000,000"
1782,2015-02-09,Faaso’s,Industry / Vertical,Sub-Vertical,City / Location,Lightbox Ventures,Private Equity,"20,000,000"
1783,2015-02-12,Stayzilla,Industry / Vertical,Sub-Vertical,City / Location,"Nexus Venture Partners, Matrix Partners",Private Equity,"20,000,000"
1784,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"20,000,000"
1785,2019-08-01,CarDekho,ECommerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,"20,000,000"
1786,2015-07-23,MedGenome,Clinical Genomics Provider,Clinical Genomics Provider,Bengaluru,Sequoia Capital,Private Equity,"20,000,000"
1787,2016-06-16,Voonik,ECommerce,Online Women’s Fashion Marketplace,Bengaluru,Sequoia Capital,Private Equity,"20,000,000"
1788,2015-03-11,Groupon India,Industry / Vertical,Sub-Vertical,City / Location,Sequoia Capital,Private Equity,"20,000,000"
1789,2015-12-03,Shuttl,App based Bus Pooling Services,App based Bus Pooling Services,Gurugram,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,"20,000,000"
1790,2017-04-26,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,"20,000,000"
1791,2015-10-07,GoJavas,Delivery & Logistics Service provider,Delivery & Logistics Service provider,Gurugram,Snapdeal,Private Equity,"20,000,000"
1792,2015-07-09,News in shorts,News Aggregator mobile app,News Aggregator mobile app,Noida,Tiger Global,Private Equity,"20,000,000"
1793,2015-06-04,Zopper,Hyperlocal Shopping App,Hyperlocal Shopping App,Mumbai,"Tiger Global,  Nirvana Ventures Advisors",Private Equity,"20,000,000"
1794,2018-01-12,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,"20,000,000"
1795,2018-02-21,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,"20,000,000"
1796,2015-08-11,Allygrow Technologies,engineering services company,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,"20,000,000"
1797,2018-02-05,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,"21,000,000"
1798,2018-06-18,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,"21,000,000"
1799,2017-04-06,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bengaluru,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"21,000,000"
1800,2016-01-25,Power2SME,Consumer Internet,SME Online Buying Hub,Gurugram,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,"21,000,000"
1801,2017-06-30,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurugram,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"21,000,000"
1802,2015-04-28,Naaptol.com,Tele-Shopping / eCommerce,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,"21,500,000"
1803,2020-02-11,Chaayos,Cafe,Tea,Delhi,"Think Investment, Tiger Global, SAIF Partners, Integrated Capital and Neeraj Arora and Innoven Capital",Series B,"21,500,000"
1804,2018-04-18,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,"22,000,000"
1805,2019-01-04,Vyome Therapeutics Inc. ,Health and Wellness,Specialty pharmaceutical ,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"22,000,000"
1806,2017-02-14,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,"22,400,000"
1807,2015-12-16,Housejoy,Home services marketplace,Home services marketplace,Bengaluru,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,"22,500,000"
1808,2016-12-16,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,"23,000,000"
1809,2017-12-05,Tata Housing,Real Estate,Residential Project ,Mumbai,Hines,Private Equity,"23,000,000"
